 
$ learning
The learning mode will be enabled, you'll need to reboot the board to return to normal operation
0 5.57
1 -64.16
2 -122.46
3 4.39
4 -68.55
5 -126.86
6 -4.98
7 -70.61
8 -136.52
9 5.27
10 -92.87
11 -139.16
0 6.15
1 -64.16
2 -122.46
3 4.69
4 -68.55
5 -126.86
6 -4.69
7 -70.61
8 -136.52
9 5.57
10 -92.87
11 -139.16
0 5.57
1 -64.75
2 -122.46
3 4.69
4 -68.55
5 -126.56
6 -4.69
7 -70.61
8 -136.52
9 5.57
10 -92.87
11 -139.16
0 5.57
1 -64.75
2 -122.46
3 4.39
4 -68.55
5 -126.86
6 -4.69
7 -70.61
8 -136.52
9 5.57
10 -92.87
11 -139.16
0 5.57
1 -64.16
2 -122.46
3 4.39
4 -68.55
5 -126.86
6 -4.69
7 -70.61
8 -136.52
9 5.27
10 -92.87
11 -139.16
0 6.15
1 -64.16
2 -122.46
3 4.69
4 -68.55
5 -126.86
6 -4.98
7 -70.61
8 -136.52
9 5.57
10 -92.87
11 -139.16
0 5.57
1 -64.16
2 -122.46
3 4.69
4 -68.55
5 -126.86
6 -4.69
7 -70.61
8 -136.52
9 5.57
10 -93.16
11 -139.16
0 6.15
1 -64.16
2 -122.46
3 4.39
4 -68.55
5 -126.56
6 -4.69
7 -70.61
8 -136.23
9 5.57
10 -92.87
11 -139.16
0 6.15
1 -64.16
2 -122.46
3 4.69
4 -68.55
5 -126.86
6 -4.69
7 -70.61
8 -136.23
9 5.57
10 -92.87
11 -139.16
0 6.45
1 -64.16
2 -122.46
3 4.69
4 -68.26
5 -126.86
6 -4.39
7 -70.90
8 -136.23
9 5.57
10 -92.87
11 -139.16
0 6.15
1 -64.16
2 -122.17
3 4.39
4 -68.55
5 -126.86
6 -4.10
7 -70.61
8 -135.94
9 5.57
10 -92.87
11 -139.16
0 6.15
1 -64.16
2 -121.87
3 4.69
4 -68.26
5 -126.56
6 -4.10
7 -70.90
8 -135.64
9 5.57
10 -92.87
11 -139.16
0 5.27
1 -64.16
2 -121.00
3 4.69
4 -68.55
5 -126.56
6 -4.10
7 -70.90
8 -135.35
9 5.57
10 -92.87
11 -139.16
0 5.27
1 -64.16
2 -121.00
3 4.69
4 -68.55
5 -126.56
6 -4.39
7 -70.90
8 -135.06
9 5.57
10 -92.87
11 -139.16
0 5.57
1 -64.16
2 -120.12
3 4.69
4 -68.55
5 -126.56
6 -4.39
7 -70.90
8 -134.77
9 5.57
10 -92.87
11 -139.16
0 5.57
1 -64.75
2 -118.95
3 4.69
4 -68.55
5 -126.56
6 -4.10
7 -70.61
8 -133.89
9 5.57
10 -92.87
11 -139.16
0 6.15
1 -64.16
2 -118.07
3 4.69
4 -68.55
5 -126.86
6 -4.69
7 -70.90
8 -133.30
9 5.57
10 -92.87
11 -139.16
0 5.27
1 -64.16
2 -117.19
3 4.69
4 -68.55
5 -126.56
6 -4.39
7 -70.61
8 -131.84
9 5.27
10 -92.87
11 -139.16
0 5.57
1 -64.16
2 -115.72
3 4.69
4 -68.55
5 -126.56
6 -4.69
7 -70.61
8 -130.37
9 5.57
10 -92.87
11 -139.16
0 4.98
1 -64.16
