
$ learning
The learning mode will be enabled, you'll need to reboot the board to return to normal operation
7 -63.87
8 -126.86
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -39.26
5 -72.36
6 -10.55
7 -63.57
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.87
8 -126.56
9 -48.34
10 -18.75
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 2.05
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -43.07
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.87
8 -126.86
9 -48.34
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.87
8 -126.86
9 -48.34
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.87
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.87
8 -126.56
9 -48.34
10 -18.16
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.87
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.16
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.16
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 2.05
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.87
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.63
10 -18.75
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.75
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -9.96
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.87
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -45.12
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -9.96
7 -63.87
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.55
7 -63.57
8 -126.56
9 -48.63
10 -18.75
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 0.88
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -9.96
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -45.12
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -39.26
5 -71.78
6 -10.25
7 -63.87
8 -126.86
9 -48.63
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -9.96
7 -63.57
8 -126.86
9 -48.63
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -9.96
7 -63.57
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -9.96
7 -63.87
8 -126.86
9 -48.63
10 -18.16
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -39.26
5 -72.36
6 -9.96
7 -63.87
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -39.26
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.65
4 -39.26
5 -72.36
6 -10.25
7 -63.57
8 -126.86
9 -48.34
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.48
6 -10.25
7 -63.87
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.16
11 -42.77
0 1.17
1 -45.12
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.87
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.63
10 -18.75
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.86
9 -48.34
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.86
9 -48.63
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -79.98
3 14.36
4 -39.26
5 -72.36
6 -10.25
7 -63.57
8 -126.86
9 -48.34
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.16
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.16
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -71.78
6 -10.25
7 -63.87
8 -126.56
9 -48.34
10 -18.16
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -71.78
6 -10.55
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 0.88
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.87
8 -126.86
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.86
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -79.98
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -79.98
3 14.36
4 -38.96
5 -71.78
6 -9.96
7 -63.57
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 2.05
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.87
8 -126.86
9 -48.34
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.86
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -70.90
6 -10.25
7 -63.87
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 0.88
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.86
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -72.36
6 -10.25
7 -63.87
8 -126.86
9 -48.34
10 -18.46
11 -43.07
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.55
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.16
11 -42.77
0 2.05
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -9.96
7 -63.87
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -71.78
6 -9.96
7 -63.57
8 -126.56
9 -48.34
10 -18.16
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -71.78
6 -10.25
7 -63.87
8 -126.56
9 -48.63
10 -18.16
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.65
4 -39.26
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.65
4 -38.96
5 -72.36
6 -10.25
7 -63.87
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.46
1 -45.12
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -9.96
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.17
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -9.96
7 -63.57
8 -126.56
9 -48.63
10 -18.16
11 -43.07
0 0.88
1 -44.82
2 -80.27
3 14.36
4 -39.26
5 -71.78
6 -10.25
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -42.77
0 1.46
1 -44.82
2 -80.27
3 14.36
4 -38.96
5 -72.36
6 -10.25
7 -63.57
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.46
1 -45.12
2 -80.27
3 14.36
4 -38.96
5 -71.78
6 -9.96
7 -63.57
8 -126.56
9 -48.63
10 -18.16
11 -42.77
0 1.17
1 -44.24
2 -80.27
3 14.36
4 -39.26
5 -72.36
6 -10.25
7 -64.45
8 -126.56
9 -48.34
10 -18.46
11 -43.07
0 1.17
1 -43.65
2 -80.57
3 14.36
4 -38.96
5 -72.36
6 -9.96
7 -64.45
8 -126.56
9 -48.34
10 -18.16
11 -42.77
0 1.46
1 -43.36
2 -80.57
3 14.36
4 -38.96
5 -72.36
6 -9.96
7 -64.45
8 -126.56
9 -48.34
10 -18.16
11 -43.07
0 1.17
1 -43.36
2 -80.57
3 14.36
4 -38.96
5 -72.36
6 -9.67
7 -64.45
8 -126.56
9 -48.63
10 -18.46
11 -43.07
0 1.17
1 -43.36
2 -80.57
3 14.36
4 -39.26
5 -72.36
6 -9.67
7 -64.45
8 -126.56
9 -48.34
10 -18.46
11 -43.07
0 1.17
1 -43.36
2 -80.57
3 14.36
4 -38.96
5 -71.78
6 -9.67
7 -64.45
8 -126.56
9 -48.63
10 -18.46
11 -43.07
0 1.46
1 -43.36
2 -80.57
3 14.65
4 -39.26
5 -72.36
6 -9.08
7 -64.45
8 -126.56
9 -48.34
10 -18.16
11 -43.07
0 1.46
1 -43.36
2 -80.57
3 14.36
4 -39.26
5 -72.36
6 -9.08
7 -64.45
8 -126.56
9 -48.63
10 -18.46
11 -43.07
0 1.46
1 -43.65
2 -80.57
3 14.36
4 -38.96
5 -72.36
6 -9.67
7 -64.45
8 -126.56
9 -48.34
10 -18.46
11 -43.07
0 1.46
1 -43.36
2 -80.57
3 14.36
4 -38.96
5 -72.36
6 -9.08
7 -65.04
8 -126.56
9 -48.63
10 -18.16
11 -43.07
0 2.05
1 -43.65
2 -80.57
3 14.36
4 -38.96
5 -72.36
6 -9.67
7 -65.04
8 -126.56
9 -48.34
10 -18.16
11 -43.07
0 1.46
1 -43.36
2 -80.57
3 14.36
4 -38.96
5 -72.36
6 -9.08
7 -65.04
8 -126.56
9 -48.63
10 -18.46
11 -43.07
0 1.46
1 -43.65
2 -80.57
3 14.65
4 -38.96
5 -72.36
6 -9.67
7 -64.45
8 -126.56
9 -48.34
10 -18.16
11 -43.07
0 1.17
1 -43.36
2 -80.57
3 14.36
4 -38.96
5 -72.36
6 -9.08
7 -64.45
8 -126.56
9 -48.93
10 -18.46
11 -43.07
0 1.46
1 -43.65
2 -80.57
3 14.36
4 -38.96
5 -72.36
6 -9.08
7 -64.45
8 -126.56
9 -48.34
10 -18.16
11 -43.07
0 1.46
1 -43.36
2 -80.57
3 14.36
4 -38.96
5 -71.78
6 -9.08
7 -64.45
8 -126.56
9 -48.34
10 -18.16
11 -43.07
0 0.88
1 -43.65
2 -80.57
3 14.65
4 -38.96
5 -72.36
6 -8.79
7 -64.16
8 -126.56
9 -48.34
10 -18.46
11 -43.07
0 1.17
1 -43.65
2 -80.57
3 13.77
4 -39.26
5 -72.36
6 -9.08
7 -63.57
8 -126.56
9 -48.34
10 -18.46
11 -43.07
0 1.17
1 -43.65
2 -80.57
3 14.36
4 -38.96
5 -72.36
6 -9.08
7 -62.70
8 -126.56
9 -48.63
10 -18.16
11 -42.77
0 1.46
1 -43.36
2 -80.57
3 14.36
4 -38.96
5 -72.36
6 -8.79
7 -62.70
8 -126.86
9 -48.34
10 -18.16
11 -42.77
0 1.46
1 -43.65
2 -80.57
3 14.36
4 -38.96
5 -71.78
6 -9.08
7 -62.70
8 -126.56
9 -48.63
10 -18.46
11 -42.77
0 1.46
1 -43.65
2 -80.57
3 14.65
4 -38.96
5 -72.36
6 -9.08
7 -62.11
8 -126.56
9 -48.34
